,identifiers,country,gender,age,stratum,education,efficacy1,efficacy2,efficacy3,efficacy4,efficacy5,efficacy6,efficacy7,efficacy8,PVMATH1,PVMATH2,PVMATH3,PVMATH4,PVMATH5
2187,NLD5280000NLD00021052800000008802188,NLD,1.0,15.75,2.0,6,3.0,4.0,2.0,3.0,2.0,4.0,2.0,4.0,499.9299,506.9403,523.298,478.8986,472.6671
2188,NLD5280000NLD00021052800000008802189,NLD,1.0,15.33,2.0,6,1.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,560.2197,597.6087,606.9559,594.4929,563.3354
2189,NLD5280000NLD00021052800000008802190,NLD,1.0,15.58,2.0,6,2.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,504.9151,518.936,539.1883,571.9037,554.7671
2190,NLD5280000NLD00021052800000008802191,NLD,2.0,15.75,2.0,6,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,555.7018,536.2284,552.5861,534.6705,583.7436
2191,NLD5280000NLD00021052800000008802192,NLD,2.0,15.83,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,524.4664,585.2236,543.9399,561.0765,593.0129
2192,NLD5280000NLD00021052800000008802193,NLD,1.0,15.75,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,616.2253,617.7831,669.972,639.5934,648.9406
2193,NLD5280000NLD00021052800000008902194,NLD,2.0,15.5,2.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,625.5725,626.3515,597.5308,605.3201,648.9406
2194,NLD5280000NLD00021052800000008902195,NLD,1.0,16.0,2.0,6,2.0,2.0,9.0,3.0,2.0,3.0,2.0,3.0,498.0604,486.3764,459.1136,506.6288,471.5766
2195,NLD5280000NLD00021052800000008902196,NLD,1.0,15.33,2.0,6,2.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,692.4054,674.4898,634.764,638.6587,687.7317
2196,NLD5280000NLD00021052800000008902197,NLD,1.0,15.42,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,637.3345,590.5982,587.4825,560.2197,557.8828
2197,NLD5280000NLD00021052800000008902198,NLD,1.0,15.67,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,632.4272,650.3427,657.3532,681.5002,672.153
2198,NLD5280000NLD00021052800000008902199,NLD,2.0,15.67,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,568.9438,568.1648,578.291,582.1857,540.1231
2199,NLD5280000NLD00021052800000008902200,NLD,2.0,16.08,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.0,671.1404,647.7722,618.1726,642.3197,678.1508
2200,NLD5280000NLD00021052800000008902201,NLD,1.0,16.0,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,721.4597,668.492,699.6495,721.4597,662.2605
2201,NLD5280000NLD00021052800000008902202,NLD,2.0,16.17,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,642.787,677.8392,675.5024,652.9132,701.2074
2202,NLD5280000NLD00021052800000008902203,NLD,2.0,15.75,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,681.8897,708.3736,720.8366,614.1221,639.0481
2203,NLD5280000NLD00021052800000008902204,NLD,1.0,15.5,2.0,6,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,628.6883,664.5194,597.5308,611.5516,683.2139
2204,NLD5280000NLD00021052800000008902205,NLD,2.0,15.33,2.0,6,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,600.7244,620.9768,606.9559,599.9455,614.7453
2205,NLD5280000NLD00021052800000008902206,NLD,1.0,16.08,2.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,682.2013,691.5485,699.3379,700.1168,678.3066
2206,NLD5280000NLD00021052800000008902207,NLD,1.0,15.83,2.0,6,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,620.8989,595.9729,634.9198,589.7414,610.7727
2207,NLD5280000NLD00021052800000008902208,NLD,1.0,15.75,2.0,6,1.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,667.713,671.6077,647.4607,692.639,682.5129
2208,NLD5280000NLD00021052800000008902209,NLD,1.0,15.92,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,603.9959,622.6905,595.4276,634.3745,621.9115
2209,NLD5280000NLD00021052800000008902210,NLD,2.0,15.75,2.0,6,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,638.1913,671.6856,725.4323,691.938,655.3279
